,Sr No,Date,Startup Name,Industry Vertical,Sub-Vertical,City,Investors Name,Investment Type,Amount (USD),Remarks
899,900,18-04-2017,Whodat,Technology,Markerless AR platform,Bengaluru,Ideaspring Capital,Private Equity,600000,No Remarks
900,901,18-04-2017,Absentia VR,Technology,Virtual Reality Startup,Bengaluru,Exfinity Venture Partners,Private Equity,1250000,No Remarks
901,902,19-04-2017,IOTrek,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed Funding,155000,No Remarks
902,903,20-04-2017,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,3000000,No Remarks
903,904,20-04-2017,Wooplr,eCommerce,Social Commerce Fashion platform,Bengaluru,Ankit Nagori,Private Equity,1750000,No Remarks
904,905,21-04-2017,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bengaluru,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,1000000,No Remarks
905,906,24-04-2017,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,6300000,No Remarks
906,907,24-04-2017,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurugram,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,250000000,No Remarks
907,908,24-04-2017,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,3200000,No Remarks
908,909,24-04-2017,Niramai,Healthcare,Breast Cancer Screening Solutions,Bengaluru,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,1750000,No Remarks
909,910,25-04-2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurugram,"Arun Tadanki, Aditya Verma",Seed Funding,245000,No Remarks
910,911,25-04-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurugram,Trifecta Capital,Private Equity,3100000,No Remarks
911,912,26-04-2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,20000000,No Remarks
912,913,26-04-2017,Myra,Consumer Internet,Online Pharmacy,Bengaluru,"Times Internet,Matrix Partners",Private Equity,1750000,No Remarks
913,914,26-04-2017,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,11000000,No Remarks
914,915,26-04-2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed Funding,1500000,No Remarks
915,916,26-04-2017,StalkBuyLove,eCommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,1000000,No Remarks
916,917,26-04-2017,ZipGo,Consumer Internet,Bus Pooling services platform,Bengaluru,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,1750000,No Remarks
917,918,27-04-2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,3600000,No Remarks
918,919,27-04-2017,Autobix,Technology,Software Solutions for Auto Dealership,Pune,GardX International,Seed Funding,1750000,No Remarks
919,920,27-04-2017,eShiksha,Technology,Education Institution Management Solutions,Jaipur,Cross Border Angels & Experts,Seed Funding,1750000,No Remarks
920,921,27-04-2017,iNurture,Consumer Internet,Online Educational courses,Bengaluru,BlackSoil Capital Pvt. Ltd,Private Equity,1500000,No Remarks
921,922,28-04-2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed Funding,750000,No Remarks
922,923,28-04-2017,Mintwalk,Consumer Internet,Financial advisory mobile app,Mumbai,Poshika Financial Ecosystem,Seed Funding,1750000,No Remarks
923,924,29-04-2017,Qriyo,Consumer Internet,Tutor Discovery & Booking platform,Jaipur,NB Ventures,Private Equity,1750000,No Remarks
924,925,01-03-2017,Ola,Consumer Internet,App based cab aggregator,Bengaluru,SoftBank Group Corp,Private Equity,330000000,No Remarks
925,926,01-03-2017,Belong,Consumer Internet,Online Jon Portal,Bengaluru,Sequoia Capital India,Private Equity,10000000,No Remarks
926,927,01-03-2017,Seenit,Consumer Internet,AI based Fashion Search Portal,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,1750000,No Remarks
927,928,01-03-2017,Paalak,ECommerce,Fresh Produce Selling portal,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,1750000,No Remarks
928,929,02-03-2017,Celes Care,Consumer Internet,Women Healthcare & Information portal,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,1500000,No Remarks
929,930,02-03-2017,Karomi,Technology,Packaging Artwork Management software,Chennai,Ideaspring Capital,Seed Funding,500000,No Remarks
930,931,02-03-2017,Red Carpet,Consumer Internet,Micro Lending platform,Gurugram,Lightspeed Venture Partners,Private Equity,2500000,No Remarks
931,932,02-03-2017,Kreate Konnect,Technology,End-to-End Seller e-commerce solutions Provider,Vadodara,Langoor,Seed Funding,1750000,No Remarks
932,933,02-03-2017,CreditMantri,Consumer Internet,Online Credit score & lending platform,Chennai,Quona Capital,Private Equity,7600000,No Remarks
933,934,03-03-2017,Lets Endorse,Consumer Internet,Online Ecosystem of social innovators,Bengaluru,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,1750000,No Remarks
934,935,03-03-2017,Tydy,Technology,Employee Onboarding and Engagement platform,Bengaluru,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,275000,No Remarks
935,936,03-03-2017,Nactus,Consumer Internet,Professional Tutors discovery & booking mobile app,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,1750000,No Remarks
936,937,03-03-2017,Oho Shop,Technology,eCommerce Mobile App Builder,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,6700000,No Remarks
937,938,03-03-2017,Emojifi,Consumer Internet,Mobile App for live emoji,Hyderabad,Undisclosed angel investors,Seed Funding,1750000,No Remarks
938,939,03-03-2017,Paytm Marketplace,ECommerce,ECommerce Marketplace,Bengaluru,Alibaba,Private Equity,200000000,No Remarks
939,940,04-03-2017,iGenetics,Healthcare,Health Diagnostic Solutions,Mumbai,CDC Group Plc,Private Equity,19500000,No Remarks
940,941,06-03-2017,Juno Clinic,Consumer Internet,Online Counseling Platform,Mumbai,Atul Nishar,Seed Funding,1200000,No Remarks
941,942,06-03-2017,Summerlabel,Consumer Internet,Fashion and Lifestyle discovery platform,Gurugram,"Aneesh Seth, Tushar Mittal",Seed Funding,150000,No Remarks
942,943,06-03-2017,PickMe,Consumer Internet,Gadget Insurance & Repair Services platform,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000,No Remarks
943,944,07-03-2017,Agrostar,Technology,Direct-to-Farmer Mobile-Based Retail platform,Pune,Accel Partners,Private Equity,10000000,No Remarks
944,945,07-03-2017,Zapr,Technology,"DSP, TV Analytics & Cross-Platform advertising",Bengaluru,Star India Pvt Ltd,Private Equity,10000000,No Remarks
945,946,07-03-2017,Data Resolve,Technology,Cyber Security Solutions,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,1000000,No Remarks
946,947,07-03-2017,Book Servicing,Consumer Internet,Online Vehicle Services Booking platform,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000,No Remarks
947,948,07-03-2017,Blowhorn,Consumer Internet,Intra-City Logistics provider,Bengaluru,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,3650000,No Remarks
948,949,08-03-2017,Rivigo,Logistics,Technology Enabled Logistics Company,Gurugram,Private Sector Banks (Debt Funding),Private Equity,15000000,No Remarks
949,950,08-03-2017,PipeCandy,Technology,Intelligent Sales Prospecting Platform,Chennai,"IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed Funding,1100000,No Remarks
950,951,08-03-2017,Supr Daily,Consumer Internet,Subscription based Home Delivery Platform,Mumbai,Y Combinator,Seed Funding,120000,No Remarks
951,952,08-03-2017,Parentune,Consumer Internet,Online Community for Parents,Gurugram,"Kae Capital, SEGNEL Ventures",Private Equity,1750000,No Remarks
952,953,09-03-2017,AppBrowzer,Consumer Internet,Instant Mobile Apps Store,Bengaluru,Deepak Gurnani,Seed Funding,500000,No Remarks
953,954,09-03-2017,MagicBricks,Consumer Internet,Online Real Estate Portal,Mumbai,Times Internet Ltd,Private Equity,4500000,No Remarks
954,955,10-03-2017,PeeBuddy,Healthcare,Female Hygiene product manufacturer,New Delhi,Indian Angel Network,Seed Funding,443000,No Remarks
955,956,10-03-2017,iOrderFresh,ECommerce,Online fresh fruits and grocery store,New Delhi,Singapore Angel Network,Seed Funding,1750000,No Remarks
956,957,10-03-2017,Lavelle Networks,Technology,SDN Solutions,Bengaluru,Ideaspring Capital,Seed Funding,600000,No Remarks
957,958,10-03-2017,PropertyShare,Consumer Internet,Fractional Proerty Ownership & Rental platform,Bengaluru,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,1750000,No Remarks
958,959,14-03-2017,MyDermacy,Consumer Internet,Online Dermatology consultation platform,New Delhi,Cyber Carrier,Private Equity,1750000,No Remarks
959,960,15-03-2017,LatestOne,eCommerce,Tech Accessories e-tailer,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,3350000,No Remarks
960,961,15-03-2017,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed Funding,100000,No Remarks
961,962,16-03-2017,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,1350000,No Remarks
962,963,16-03-2017,ShilpMIS,Technology,Virtual Reality platform,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed Funding,1750000,No Remarks
963,964,16-03-2017,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,3100000,No Remarks
964,965,16-03-2017,Fitso,Consumer Internet,Fitness Mobile App,Gurugram,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,200000,No Remarks
965,966,17-03-2017,FarMart,Technology,Farming rental equipment provider,Gurugram,Indian Angel Network,Seed Funding,1750000,No Remarks
966,967,21-03-2017,Flipkart,eCommerce,ECommerce Marketplace,Bengaluru,"Microsoft, eBay, Tencent Holdings",Private Equity,1400000000,No Remarks
967,968,21-03-2017,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,3670000,No Remarks
968,969,21-03-2017,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,L’Occitane,Private Equity,5300000,No Remarks
969,970,22-03-2017,The Mons Co,eCommerce,Pregnancy & Baby Care etailer,New Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed Funding,1750000,No Remarks
970,971,22-03-2017,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bengaluru,"Ravi Saxena, Sandeep Raju,",Seed Funding,191000,No Remarks
971,972,23-03-2017,Ixigo,Consumer Internet,Online Travel Search Engine,Gurugram,"Sequoia Capital, Kinzon Capital",Private Equity,15000000,No Remarks
972,973,23-03-2017,Markets and Markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private Equity,56000000,No Remarks
973,974,24-03-2017,Bizom,Technology,supply chain automation platform,Bengaluru,Ojas Ventures,Seed Funding,382000,No Remarks
974,975,24-03-2017,BabyonBoard,Consumer Internet,Parenting Mobile App,Bengaluru,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed Funding,1750000,No Remarks
975,976,24-03-2017,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",Private Equity,100000000,No Remarks
976,977,27-03-2017,Sport Flashes,Consumer Internet,Sports Based Online Media portal,New Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed Funding,1750000,No Remarks
977,978,28-03-2017,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,500000,No Remarks
978,979,28-03-2017,Wigzo,Technology,Enterprise Automation suite,New Delhi,3one4 capital,Private Equity,1750000,No Remarks
979,980,28-03-2017,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurugram,Brand Capital,Private Equity,300000,No Remarks
980,981,29-03-2017,Zapyle,ECommerce,Luxury Fashion Marketplace,Bengaluru,Undisclosed Investors,Seed Funding,1750000,No Remarks
981,982,29-03-2017,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,325000,No Remarks
982,983,29-03-2017,perpule,eCommerce,Self-Checkout ECommerce App,Bengaluru,KStart Capital,Seed Funding,650000,No Remarks
983,984,29-03-2017,Byju's,Consumer Internet,Online Education Platform,Bengaluru,Verlinvest,Private Equity,1750000,No Remarks
984,985,29-03-2017,Licious,ECommerce,Online Meat Ordering platform,Bengaluru,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,10000000,No Remarks
985,986,29-03-2017,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bengaluru,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,50000,No Remarks
986,987,30-03-2017,Indus OS,Technology,Mobile OS creator,Mumbai,"JSW Ventures, VenturEast",Private Equity,1750000,No Remarks
987,988,30-03-2017,Emflux Motors,Technology,Electric Motorcycle manufacturer,Bengaluru,"Meher Roy, Nikhil Arora, Meet Kanodia, Krit Sankalp, Nitish Singh, Risabh Gupta",Seed Funding,1750000,No Remarks
988,989,30-03-2017,Klinic App,Consumer Internet,Pathology & Diagnostic Tests Portal,Gurugram,Om Chaudhry,Seed Funding,1750000,No Remarks
989,990,31-03-2017,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed Funding,155000,No Remarks
990,991,31-03-2017,Oriano Solar,Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,3000000,No Remarks
991,992,31-03-2017,BigBasket,ECommerce,Online Grocer,Bengaluru,Trifecta Capital,Private Equity,7000000,No Remarks
992,993,31-03-2017,Rooter,Consumer Internet,Sports engagement platform,New Delhi,Intex Technologies,Private Equity,1750000,No Remarks
993,994,31-03-2017,FalconBrick,Technology,Real-Estate Workflow mobile app,Bengaluru,"Satveer Thakral, LetsVenture, Mumbai Angels",Seed Funding,1750000,No Remarks
994,995,31-03-2017,Icertis,Technology,ERP solutions provider,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures, Eight Roads Ventures",Private Equity,25000000,No Remarks
995,996,02-02-2017,Clodura,Technology,Intelligent Sales Assistant,Pune,Undisclosed Investors,Seed Funding,1750000,No Remarks
996,997,03-02-2017,Stockroomio,Consumer Internet,Curated Platform for Developers,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,1750000,No Remarks
997,998,06-02-2017,Capital Float,Consumer Internet,Online lending platform,Bengaluru,IFMR Capital Finance,Private Equity,2500000,No Remarks
998,999,06-02-2017,iManageMyHotel,Technology,Hotel Management Solution,Kolkata,Jaarvis Accelerator,Seed Funding,1750000,No Remarks
999,1000,07-02-2017,Inner Hour,Consumer Internet,Online Counselling Platform,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,450000,No Remarks
1000,1001,07-02-2017,Travel Triangle,Consumer Internet,Online travel agent marketplace,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,10000000,No Remarks
1001,1002,08-02-2017,Wandertrails,Consumer Internet,"Online Travel, Adventure & Activities Portal",Bengaluru,Earlsfield Capital,Seed Funding,1000000,No Remarks
1002,1003,08-02-2017,Zenatix,Technology,IoT Based Energy Monitoring & Control,Gurugram,"pi Ventures, Blume Ventures",Private Equity,1200000,No Remarks
1003,1004,08-02-2017,Cartrade,Consumer Internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,55000000,No Remarks
1004,1005,08-02-2017,MindYourFleet,Technology,Car Rental Software Solutions,Noida,"Japan Vyas, Tarun Adlakha",Seed Funding,1750000,No Remarks
1005,1006,08-02-2017,Edurev,Consumer Internet,Online Education Portal,Gurugram,Facebook FB Start programme,Seed Funding,40000,No Remarks
1006,1007,09-02-2017,Voonik,ECommerce,Women Apparel & Lifestyle etailer,Bengaluru,"RB Investments, Sequoia Capital",Private Equity,6000000,No Remarks
1007,1008,09-02-2017,1Crowd,Finance,Startup Crowd-funding platform,Mumbai,Ganesh Natarajan,Seed Funding,1750000,No Remarks
1008,1009,09-02-2017,Wooplr,ECommerce,Women Fashion Portal,Bengaluru,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private Equity,8000000,No Remarks
1009,1010,10-02-2017,48East,ECommerce,Online Food Delivery Platform,Bengaluru,Al Dhaheri family,Private Equity,500000,No Remarks
1010,1011,10-02-2017,Redesyn,Consumer Internet,Tech Enabler for Artists,Mumbai,ThinQbate,Seed Funding,1750000,No Remarks
1011,1012,13-02-2017,Sigtuple,Technology,Medical Automation platform,Bengaluru,"Accel Partners, IDG Ventures, Endiya Partners, pi Ventures, VH Capital, Axilor Partners",Private Equity,5800000,No Remarks
1012,1013,13-02-2017,Flutura,Technology,Decision Sciences Analytics Solutions,Bengaluru,"Vertex Ventures, Lumis Partners",Private Equity,7500000,No Remarks
1013,1014,13-02-2017,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,3200000,No Remarks
1014,1015,13-02-2017,Better Mortgage,Consumer Internet,Mortgage Offering Platform,Gurugram,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private Equity,15000000,No Remarks
1015,1016,13-02-2017,Nurturey,Consumer Internet,Parenting Mobile App,New Delhi,Mohit Joshi & Others,Seed Funding,330000,No Remarks
1016,1017,13-02-2017,Fyle,Technology,Expense Management Solution,Bengaluru,Pravega Ventures,Seed Funding,400000,No Remarks
1017,1018,14-02-2017,GoBumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,"Mahalingam K, Girish Mathrubootham",Seed Funding,300000,No Remarks
1018,1019,14-02-2017,CCAvenue,Consumer Internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,22400000,No Remarks
1019,1020,14-02-2017,Connaizen,Technology,Data Analytics platform,New Delhi,Vikram Sud,Seed Funding,1750000,No Remarks
1020,1021,15-02-2017,Innov8,Consumer Internet,Co-Working Space Platform,New Delhi,"Vijay Shekhar Sharma, Rajan Anandan, Kunal Shah, Girish Mathrubootham, Punit Soni, Anand Chandrasekaran, Sunil Kalra, Utsav Somani, Vishal Gondal, Vikram Limaye",Seed Funding,1750000,No Remarks
1021,1022,15-02-2017,ZestMoney,Consumer Internet,Online Consumer Lending platform,Bengaluru,"PayU, Ribbit Capital, Omidyar Network",Private Equity,6500000,No Remarks
1022,1023,15-02-2017,AirZaar,Technology,Drone operations management platform,Missouri,Quake Capital,Seed Funding,350000,No Remarks
1023,1024,16-02-2017,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,3000000,No Remarks
1024,1025,16-02-2017,YourStory,Consumer Internet,Online Media,Bengaluru,"Kalaari Capital Partners, Qualcomm, 3ONE4 Capital Advisors, UC-RNT",Private Equity,3000000,No Remarks
1025,1026,17-02-2017,Imaginate,Technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,500000,No Remarks
1026,1027,17-02-2017,The Ken,Consumer Internet,Online Media Platform,Bengaluru,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",Seed Funding,400000,No Remarks
1027,1028,17-02-2017,Urban Ladder,ECommerce,Online Furniture Store,Bengaluru,"Kalaari Capital, SAIF Partners, Steadview Capital, Sequoia Capital",Private Equity,15200000,No Remarks
1028,1029,17-02-2017,Aisle,Consumer Internet,Online match-making app,Bengaluru,"Konglo Ventures, White Unicorn Ventures, LetsVenture",Seed Funding,1750000,No Remarks
1029,1030,17-02-2017,TownScript,Consumer Internet,DIY event registration and ticketing portal,Pune,BookMyShow,Private Equity,1750000,No Remarks
1030,1031,17-02-2017,Leopetra,eCommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,40000,No Remarks
1031,1032,18-02-2017,Blood n Care,Consumer Internet,First Aid care app,Gurugram,Facebook FBStart,Seed Funding,40000,No Remarks
1032,1033,20-02-2017,Flipkart,eCommerce,Online Marketplace,Bengaluru,"Bennett, Coleman and Co. Ltd (BCCL)",Private Equity,38700000,No Remarks
1033,1034,21-02-2017,True Balance,Consumer Internet,Mobile balance Checking App,Gurugram,"Softbank Ventures Korea, IMM Investment",Private Equity,15000000,No Remarks
1034,1035,22-02-2017,Vebbler,Consumer Internet,Photo Sharing for Groups,Bengaluru,Facebook FBStart,Seed Funding,40000,No Remarks
1035,1036,23-02-2017,Get My Parking,Consumer Internet,Smart Parking Platform,New Delhi,"Indian Angel Network (IAN), BEENEXT, The Chennai Angels, Sunil Munjal",Private Equity,1100000,No Remarks
1036,1037,23-02-2017,Lets Reap,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,"Kunal Shah, Sandeep Tandon, Nitin Saluja, Gagan Goyal",Seed Funding,1750000,No Remarks
1037,1038,24-02-2017,Oglas,Consumer Internet,Mobile Advertising App,Noida,"Pankaj Rungta, Yogesh Agarwal",Seed Funding,1750000,No Remarks
1038,1039,27-02-2017,Staydobe,Consumer Internet,Co-Living Spaces Aggregator,Bengaluru,Ishan Manaktala,Seed Funding,1750000,No Remarks
1039,1040,27-02-2017,Biryani By Kilo,Consumer Internet,Online Food Ordering & Delivery Portal,Gurugram,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",Seed Funding,375000,No Remarks
1040,1041,27-02-2017,Johari Shop,ECommerce,Online Jewellery etailer,Bengaluru,Undisclosed Investors,Seed Funding,94000,No Remarks
1041,1042,28-02-2017,NeoStencil,Consumer Internet,Live Online Coaching Classes,New Delhi,"Brand Capital, Paragon Trust",Private Equity,1000000,No Remarks
1042,1043,28-02-2017,Blackbuck,Logistics,Online freight aggregator,Bengaluru,"Sands Capital, IFC, Accel Partners, Flipkart, Sanjiv Rangrass",Private Equity,70000000,No Remarks
1043,1044,02-01-2017,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,366000,No Remarks
1044,1045,03-01-2017,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,825000,No Remarks
1045,1046,03-01-2017,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,1750000,No Remarks
1046,1047,03-01-2017,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurugram,Vishal Malik,Seed Funding,1750000,No Remarks
1047,1048,04-01-2017,LearnTron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,1750000,No Remarks
1048,1049,05-01-2017,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bengaluru,DanGold Investment Corp,Private Equity,1750000,No Remarks
1049,1050,05-01-2017,Yostra,Technology,Healthcare Technology Solutions,Bengaluru,"Marico Innovation Foundation (MIF), Villgro",Private Equity,1750000,No Remarks
1050,1051,06-01-2017,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,13000000,No Remarks
1051,1052,07-01-2017,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000,No Remarks
1052,1053,09-01-2017,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,35000000,No Remarks
1053,1054,10-01-2017,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000,No Remarks
1054,1055,10-01-2017,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,5000000,No Remarks
1055,1056,10-01-2017,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurugram,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,2250000,No Remarks
1056,1057,10-01-2017,DriveSkool,Consumer Internet,online marketplace for driving schools,Bengaluru,Aavya Ventures,Seed Funding,1750000,No Remarks
1057,1058,10-01-2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bengaluru,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,100000,No Remarks
1058,1059,10-01-2017,LensKart,eCommerce,Online eyewear retailer,Bengaluru,Ronnie Screwvala,Private Equity,3500000,No Remarks
1059,1060,11-01-2017,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurugram,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,1750000,No Remarks
1060,1061,12-01-2017,Hanselio,Consumer Internet,Real-time Mobile App Management Platform,Bengaluru,"IDG Ventures, Endiya Partners",Private Equity,1350000,No Remarks
1061,1062,12-01-2017,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurugram,"Lohia Group, Andre Hoffman",Private Equity,10000000,No Remarks
1062,1063,13-01-2017,Roambee,Technology,IoT smart Logistics and Asset Management Company,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,4100000,No Remarks
1063,1064,13-01-2017,PaisaWapas,Consumer Internet,Cashback & Coupons platform,Bengaluru,Vividhity Ventures,Seed Funding,1750000,No Remarks
1064,1065,13-01-2017,iService,Consumer Internet,Gadgets Repair & Service Booking platform,Bengaluru,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,440000,No Remarks
1065,1066,14-01-2017,Unacademy,Consumer Internet,Online learning platform,Bengaluru,"Nexus Venture Partners, Blume Ventures",Private Equity,4500000,No Remarks
1066,1067,14-01-2017,SecururAX,Technology,Cloud-based solutions provider,Bengaluru,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",Private Equity,1750000,No Remarks
1067,1068,16-01-2017,Leadburg,Consumer Internet,Personality Development Mobile App,Bengaluru,"Harsh V. Pant, Ratheesh Raveendran",Seed Funding,1750000,No Remarks
1068,1069,16-01-2017,ZoloStays,Consumer Internet,Branded PG Accomodation booking platform,Bengaluru,"Nexus Venture Partners, Innoven Capital",Private Equity,5000000,No Remarks
1069,1070,16-01-2017,Oi Media,Technology,SAAS Based Media Marketing platform,New Delhi,Quarizon,Seed Funding,1750000,No Remarks
1070,1071,16-01-2017,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,700000,No Remarks
1071,1072,17-01-2017,Curiositi,Consumer Internet,Online Learning Platform,Bengaluru,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,800000,No Remarks
1072,1073,17-01-2017,TinyStep,Consumer Internet,Parenting Info & Social Network,Bengaluru,Flipkart,Private Equity,2000000,No Remarks
1073,1074,17-01-2017,Practo,Consumer Internet,Online Healthcare platform,Bengaluru,"Tencent, ru-Net, RSI Fund, Thrive Capital",Private Equity,55000000,No Remarks
1074,1075,17-01-2017,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,441000,No Remarks
